##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	28_4D_mbnl_S20_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	12428766
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
1107	50-51	-0.11831492008081312
1107	52-53	-0.15092136249826638
1107	54-55	0.03944082157287454
1107	56-57	-0.2244984180159335
1107	58-59	-0.08432056272639699
1107	60-61	-0.1288628756631809
1107	62-63	-0.2877089752511779
1107	64-65	-0.10885879491143413
1107	66-67	-0.08952114365153108
1107	68-69	0.03282057239617586
1107	70-71	-0.21845859014430857
1107	72-73	-0.16487539678238505
1107	74-75	-0.19209504906778108
1107	76-77	-0.223773735956037
1107	78-79	-0.03354549065709733
1107	80-81	-0.19282627042326794
1107	82-83	-0.28576432181630196
1107	84-85	-0.13897441001528676
1107	86-87	-0.21360012574399434
1107	88-89	-0.23003960475324448
1107	90-91	-0.22272100149912433
1107	92-93	-0.18077940720506547
1107	94-95	-0.22694131084864466
1107	96-97	-0.21348273734938772
1107	98-99	0.04144836935765994
1107	100-101	0.054970064461258517
1108	1	-0.7882810142854737
1108	2	-0.46947676323777543
1108	3	-1.2742548952709072
1108	4	-1.0357472911116332
1108	5	-0.7188115392367962
1108	6	-0.9876604803853013
1108	7	-0.988410592680026
1108	8	-0.9891682086811073
1108	9	-0.7440554046784555
1108	10-11	-1.0421885692262762
1108	12-13	-1.146755549805171
1108	14-15	-1.3088231942507278
1108	16-17	-0.6744283860696356
1108	18-19	-0.227405789439743
1108	20-21	-0.11243793765297028
1108	22-23	-0.15564645541606836
1108	24-25	-0.0693467509381307
1108	26-27	-0.020573988612881067
1108	28-29	-0.18769936410042476
1108	30-31	-0.10016709420064984
1108	32-33	0.017409423215724473
1108	34-35	-0.2513374089309153
1108	36-37	-0.3221286948868425
1108	38-39	-0.47832679229978226
1108	40-41	-0.3199160700970083
1108	42-43	-0.21214865778922842
1108	44-45	-0.15270844736200928
1108	46-47	-0.08539044985537458
1108	48-49	0.019782815068474235
1108	50-51	-0.0032643187914302985
1108	52-53	-0.034650284453952906
1108	54-55	0.15368488437925976
1108	56-57	-0.08065764502345729
1108	58-59	-0.04948605079582791
1108	60-61	0.0633374219528875
1108	62-63	0.0075292527904622375
1108	64-65	-0.07524073033032153
1108	66-67	-0.03089153842004322
1108	68-69	-0.009613483328351435
1108	70-71	-0.09910273538876879
